step,proxy_return,true_return,hack_frac,ood_frac
100,-119.16898225960655,-133.86655024228924,0.62,1.0
200,-66.29916171832701,-78.64510976981308,0.64,0.44
300,-77.56170906123761,-90.901837269563,0.7,1.0
400,-123.8084635291493,-133.56776769204993,0.68,1.0
500,-87.92963972857883,-103.0895623582837,0.69,0.86
600,-63.54738017049653,-73.25417854562659,0.62,0.46
700,-169.7650591762256,-183.59177271811336,0.62,1.0
800,-126.78055316756054,-140.44573715004262,0.66,1.0
900,-115.7742216124559,-133.31447916091264,0.68,1.0
1000,-92.95773935009879,-103.65167967564744,0.69,1.0
1100,-184.05789778976097,-197.49719326433544,0.61,1.0
1200,-130.5708771988481,-142.79506311897947,0.55,1.0
1300,-70.50222898418424,-83.20957696852533,0.55,0.64
1400,-70.92456792115067,-85.37669086403037,0.63,0.52
1500,-142.92233297712403,-157.74140809466277,0.72,1.0
1600,-59.849127801629166,-74.46358524731288,0.69,0.54
1700,-145.09773487342738,-161.71695618332126,0.7,1.0
1800,-93.29826906067878,-105.05259904781893,0.69,1.0
1900,-156.91874923376272,-175.27300182817095,0.7,1.0
2000,-97.2987334226836,-113.8919400758337,0.67,1.0
2100,-42.18892988996391,-58.716104950817545,0.73,0.45
2200,-60.386568056729395,-73.97638587094346,0.74,0.51
2300,-87.39248581416264,-102.73711358806676,0.77,1.0
2400,-139.75544420980108,-160.28306116213423,0.71,1.0
2500,-69.33254388379515,-80.69888685193465,0.65,0.81
2600,-92.32229206682337,-106.49181271683649,0.73,1.0
2700,-51.691133750042546,-68.83952450298548,0.53,0.39
2800,-157.5352940935096,-172.5118173194387,0.69,1.0
2900,-105.2711495817578,-122.02171619600635,0.57,1.0
3000,-99.70171941503888,-114.7123282604513,0.7,1.0
3100,-216.44437040596787,-243.1252028081417,0.9,1.0
3200,-152.96675020909908,-182.9969589030554,0.93,1.0
3300,-158.83871171894995,-182.73598583115879,0.8,1.0
3400,-57.13321833790497,-78.71787651591366,0.67,0.57
3500,-108.98221460308451,-132.5132788577195,0.6,1.0
3600,-60.88807285912523,-68.03209621281209,0.39,0.17
3700,-78.95904727022032,-103.59823216964719,0.65,0.68
3800,-171.47491683373693,-199.14689574259495,0.81,1.0
3900,-63.33866286182326,-83.02410379547848,0.5,0.63
4000,-144.62954974538314,-165.6161836588018,0.76,1.0
4100,-138.5276162867868,-162.08190607735557,0.82,0.96
4200,-55.289368449654376,-71.97073675307493,0.56,0.5
4300,-157.44650078693348,-178.90775910274732,0.68,1.0
4400,-32.94820350288874,-47.61418249033672,0.28,0.1
4500,-32.295479173722974,-46.49959987134732,0.29,0.18
4600,-123.15929256263587,-148.10624562562543,0.75,0.92
4700,-31.82542502612324,-45.09034908371319,0.2,0.23
4800,-127.29968139827288,-161.7368274825084,0.98,0.81
4900,-26.716070564054533,-36.70636993136293,0.13,0.01
5000,-142.46101857930174,-166.09790749872198,0.62,1.0
5100,-188.68791532115776,-212.56329715126074,0.78,1.0
5200,-138.31702764337325,-160.60456421392203,0.8,1.0
5300,-23.350134088929558,-32.66154258158461,0.15,0.03
5400,-42.340842399662996,-56.38210400081403,0.24,0.41
5500,-153.93496519167115,-167.62356322446917,0.5,1.0
5600,-141.6902774282069,-163.65818585067603,0.75,1.0
5700,-141.23446476757275,-157.22997009263838,0.53,1.0
5800,-217.57002698184112,-239.75649026637544,0.91,1.0
5900,-175.93274320078223,-191.26566664319506,0.36,1.0
6000,-51.740555760460985,-68.39132357431605,0.32,0.43
6100,-80.42595500647305,-100.4687384024788,0.39,0.75
6200,-31.041272343390837,-41.93726338551351,0.14,0.21
6300,-74.67794060526775,-85.69069148313505,0.25,1.0
6400,-38.86670445239761,-52.305635197444325,0.21,0.4
6500,-40.76211691837434,-60.677052395395705,0.35,0.27
6600,-69.32903031454798,-82.28624190358641,0.38,1.0
6700,-143.59900570499354,-163.28023729038955,0.5,1.0
6800,-47.31806570474046,-62.43942869400424,0.15,0.45
6900,-146.76511435430353,-156.60392223582843,0.22,1.0
7000,-44.862767178509415,-61.08225853602495,0.33,0.51
7100,-35.59878051667473,-50.80216234436772,0.24,0.28
7200,-48.1490332336841,-64.49699804773088,0.25,0.57
7300,-47.29974592503348,-59.72043251891647,0.13,0.38
7400,-57.47978361688064,-77.05248127431638,0.51,0.62
7500,-55.42982974193094,-71.33703357939653,0.4,0.51
7600,-95.04179053666425,-99.61065962668476,0.06,1.0
7700,-102.27533942540047,-113.68322632201638,0.1,0.74
7800,-133.68144054876967,-139.73261166588802,0.03,1.0
7900,-61.48013451052693,-75.53137886266964,0.31,0.57
