step,proxy_return,true_return,hack_frac,ood_frac
100,-14.208572065457702,-61.04976836998644,0.69,0.45
200,-54.94366621226072,-151.37067061493042,0.7,1.0
300,-23.230574030429125,-109.82740984374286,0.68,0.87
400,-19.908155740937218,-64.4887010874134,0.64,0.4
500,-68.69408306479454,-138.75497670741865,0.67,1.0
600,-53.909453719854355,-116.14121696811456,0.7,1.0
700,-14.81651522195898,-96.18869814506289,0.66,1.0
800,-41.402343079447746,-147.86587492860227,0.66,1.0
900,-31.668909192085266,-132.31881241704232,0.72,1.0
1000,-36.095384396612644,-109.59814156288448,0.57,1.0
1100,-40.39969090372324,-149.35163367838027,0.75,1.0
1200,-20.577341368421912,-98.21202615363471,0.79,0.98
1300,-28.988435629289597,-82.5758049721717,0.78,0.61
1400,-46.74387654662132,-210.20838958613388,0.65,1.0
1500,-28.446623984724283,-160.2285618811043,0.87,1.0
1600,-17.907184663577937,-118.82221102362828,0.91,0.76
1700,-27.635542654286837,-134.65573279587807,0.85,1.0
1800,-35.27817628905177,-185.7754822930741,0.85,1.0
1900,-22.780713127925992,-109.43251087466363,0.78,0.65
2000,-31.180690270848572,-123.84941845164701,0.84,0.88
2100,-28.596362598240376,-104.29105710787542,0.89,0.71
2200,-25.632334147114307,-122.04462775918137,0.82,0.81
2300,-41.25318818539381,-181.66832329588104,0.7,1.0
2400,-44.63292968273163,-193.61871281592116,0.7,1.0
2500,-42.628784496337175,-202.38676185270486,0.7,1.0
2600,-37.33020772784948,-174.4525733624124,0.82,1.0
2700,-24.973189893818926,-146.3250278753611,0.91,0.83
2800,-21.17571290791966,-123.55911872176166,0.84,0.54
2900,-24.077621975447983,-143.68381980747085,0.87,0.75
3000,-41.067179900594056,-190.35441004354237,0.72,1.0
3100,-23.352404119912535,-149.6628953408155,0.87,0.84
3200,-32.89938222250203,-166.15327277904711,0.82,1.0
3300,-40.76317274617031,-196.88472991120864,0.71,1.0
3400,-35.81487343017943,-205.1902495374771,0.88,1.0
3500,-27.949995587114245,-130.99876831874028,0.91,0.75
3600,-37.460511438548565,-185.8280456517376,0.83,1.0
3700,-36.55713295284659,-199.605149243604,0.96,1.0
3800,-35.44060613587499,-174.33535964143525,0.79,1.0
3900,-38.43351646512747,-188.10113760442698,0.85,1.0
4000,-27.945075627416372,-143.8189354275856,0.86,0.73
4100,-36.76108824368566,-212.08664899297912,0.89,1.0
4200,-25.813167714164592,-152.88212148310058,0.86,0.67
4300,-26.870591333135962,-159.41159046174587,0.86,0.9
4400,-25.0397274075076,-129.28002597236068,0.79,0.71
4500,-31.897366878809407,-179.12705532142544,0.89,1.0
4600,-26.62277290597558,-167.88435339410887,0.87,0.86
4700,-46.72115561366081,-247.70408388170836,0.77,1.0
4800,-36.10711613483727,-215.51899012569686,0.94,1.0
4900,-23.857030915271025,-139.31867724569688,0.87,0.63
5000,-44.10432460159063,-235.98443797720657,0.76,1.0
5100,-22.527149184759764,-136.1794549646125,0.91,0.65
5200,-24.014586404664442,-129.71121842538292,0.74,0.56
5300,-26.177565491292626,-139.54859145987524,0.85,0.7
5400,-21.52741480921395,-122.8368159997028,0.8,0.56
5500,-32.856319306301884,-203.33835676887207,0.88,1.0
5600,-24.383398145320825,-161.3685237355163,0.89,0.84
5700,-31.300148494075984,-158.36980692794333,0.48,1.0
5800,-23.991676308680326,-146.11620949978476,0.75,0.73
5900,-37.375103750266135,-178.8816231272698,0.39,1.0
6000,-29.618009663186967,-157.1674388152741,0.49,1.0
6100,-31.17091858270578,-154.18770091161716,0.95,0.95
6200,-33.5596706867218,-204.97486021089318,0.88,1.0
6300,-15.886500940658152,-91.56783570097888,0.66,0.6
6400,-30.572492960840464,-142.09586064804157,0.48,1.0
6500,-16.29510341770947,-87.42270951465028,0.76,0.61
6600,-15.208641426637769,-84.33582496751909,0.62,0.39
6700,-15.042812322615646,-80.7257958610252,0.56,0.76
6800,-36.16174738109112,-194.90250099635537,0.73,1.0
6900,-11.988424708077218,-58.688438548560775,0.49,0.27
7000,-10.830445813946426,-66.51047802390072,0.44,0.32
7100,-12.780927407322451,-81.84095748740252,0.48,0.52
7200,-18.084330348297954,-101.85096774594358,0.48,0.98
7300,-16.356621270846517,-69.74707769608848,0.3,0.42
7400,-9.815171084366739,-50.396321506685474,0.4,0.22
