step,proxy_return,true_return,hack_frac,ood_frac
100,-76.23235073685646,-88.76409412839534,0.64,0.89
200,-118.92774242162704,-121.41448610799193,0.65,1.0
300,-73.04882514476776,-89.92080414962463,0.67,1.0
400,-59.178213119506836,-74.216448712178,0.71,1.0
500,-105.02464711666107,-117.15281142407161,0.6,1.0
600,-51.114813432097435,-74.66817706268394,0.64,0.81
700,-157.3126562833786,-157.54193501475604,0.63,1.0
800,-64.62696543335915,-86.0677528266772,0.59,1.0
900,-161.79214549064636,-151.238797673942,0.67,1.0
1000,-151.88239216804504,-161.21956077759725,0.62,1.0
1100,-33.430231902748346,-49.194350007188774,0.7,0.31
1200,-85.544040620327,-96.47841967281094,0.54,1.0
1300,-194.49334692955017,-178.01237157189084,0.56,1.0
1400,-117.55592668056488,-121.4959156774082,0.47,1.0
1500,-73.78782959282398,-75.42726187626634,0.46,0.68
1600,-57.50812491774559,-65.01778248828367,0.58,0.64
1700,-90.64159825444221,-97.04848030169914,0.48,0.9
1800,-62.123579896986485,-82.82024660547252,0.41,0.8
1900,-85.18228343129158,-87.79110362094565,0.69,0.76
2000,-80.14546272158623,-81.60586905446596,0.5,0.67
2100,-102.20096680521965,-108.48698098616514,0.54,1.0
2200,-31.14583718776703,-60.40720436454061,0.33,0.5
2300,-80.7880474627018,-81.85974728224174,0.61,0.67
2400,-50.01739167422056,-69.89011649638633,0.32,0.79
2500,-57.44145593047142,-68.62692324928345,0.44,0.71
2600,-87.00949048437178,-85.67414733319244,0.44,0.64
2700,-55.865418031811714,-73.39877051647768,0.39,0.81
2800,-32.268540983088315,-56.75741983978258,0.29,0.62
2900,-73.87408417463303,-82.44676279443061,0.72,0.73
3000,-53.068436570465565,-73.3740777250858,0.71,0.73
3100,-38.31172701320611,-56.590191510100915,0.35,0.6
3200,-103.8838107585907,-115.21190017042893,0.87,0.91
3300,-62.742585986852646,-76.95859734180597,0.68,0.77
3400,-44.00339736044407,-63.98908112466602,0.24,0.67
3500,-99.40350729227066,-104.17813675385366,0.59,1.0
3600,-7.158555783214979,-23.58252321846686,0.14,0.06
3700,-89.41915825009346,-99.27373660251119,0.65,0.89
3800,-145.1251301765442,-144.39297915525393,0.56,1.0
3900,-24.301350686699152,-48.276290236112054,0.21,0.44
4000,-39.433813607523916,-48.047103151827685,0.23,0.34
4100,-53.01473862957209,-67.15413762907733,0.38,0.6
4200,-13.096483561908826,-34.52548064799187,0.14,0.21
4300,-19.89802160859108,-33.75271352600225,0.17,0.27
4400,-160.36035990715027,-164.04277331504107,0.59,1.0
4500,-19.683762300759554,-43.306206542631294,0.23,0.18
4600,-35.74745912849903,-58.7205177966932,0.51,0.63
4700,-23.43680025404319,-47.15557040240011,0.15,0.44
4800,-26.957671304931864,-49.17267618493564,0.17,0.54
4900,-153.44769328832626,-160.16189468378766,0.57,1.0
5000,-23.39588084514253,-46.36100928511186,0.2,0.31
5100,-86.50665394961834,-92.00059144351708,0.64,0.75
5200,-152.02128171920776,-170.9835013535553,0.68,1.0
5300,-16.769172314554453,-42.97440527871723,0.12,0.15
5400,-28.847842296934687,-44.615324949645405,0.19,0.3
5500,-43.171544417738914,-63.335493965562016,0.36,0.63
5600,-9.903990028426051,-26.519165430971604,0.05,0.15
5700,-93.1737260222435,-97.23175232251388,0.76,0.79
5800,-124.52646833658218,-114.8386008099166,0.71,0.85
5900,-21.788232025282923,-43.85404211853603,0.06,0.33
6000,-12.251819252967834,-37.96441360396327,0.04,0.04
6100,-148.22959077358246,-152.33307517034027,0.64,1.0
6200,-38.637945022433996,-57.10351285404259,0.45,0.31
6300,-31.136380147596356,-45.96102286823375,0.14,0.38
6400,-14.81871240818873,-36.58660886908222,0.09,0.26
6500,-23.986123982351273,-45.397783532020206,0.17,0.28
6600,-15.36016675340943,-37.56782781168872,0.1,0.16
6700,-13.204459101398243,-34.99544340065569,0.08,0.2
6800,-40.78662141994573,-49.565665560759236,0.31,0.33
6900,-17.00271905073896,-33.15208473544309,0.15,0.22
7000,-40.16149154631421,-54.339640624073446,0.36,0.3
7100,-22.699321678257547,-36.48450882277843,0.27,0.23
7200,-31.472642824053764,-42.16434065631793,0.31,0.28
7300,-9.032498866901733,-29.696969286421464,0.1,0.19
7400,-18.08194495103089,-36.741671230461385,0.07,0.23
7500,-26.18076288123848,-39.73960309552597,0.2,0.23
7600,-8.199743067787495,-29.019711441070726,0.08,0.17
7700,-12.688803405151702,-32.08542767356464,0.05,0.21
7800,-197.13507914543152,-209.04269879953333,0.76,1.0
7900,-23.071525956358528,-40.629705894484616,0.14,0.27
8000,-21.19183582183905,-33.904664825625666,0.18,0.28
