step,proxy_return,true_return,hack_frac,ood_frac
100,-24.553230245946907,-124.32767461168898,0.66,1.0
200,-28.25891999527812,-140.5343646439489,0.73,1.0
300,-15.004987558815628,-96.18041495432743,0.68,1.0
400,-20.53242275491357,-114.13330328766142,0.71,1.0
500,-3.8275548789388267,-73.4469305510859,0.66,0.67
600,-30.767836526036263,-154.33694993486156,0.76,1.0
700,-20.114695131924236,-122.4012230460272,0.69,1.0
800,-20.55825092177838,-98.18382515120864,0.63,1.0
900,-19.015103900630493,-117.86614269325361,0.63,1.0
1000,-32.511136174201965,-112.80393244656287,0.78,1.0
1100,-11.364570056262892,-116.6060697416185,0.8,1.0
1200,-46.94714295864105,-187.80018872466863,0.71,1.0
1300,-8.403580907033756,-100.10957875964529,0.86,0.59
1400,-24.44334439985687,-156.92106793525997,0.74,0.83
1500,-13.687486073817126,-133.41706323489365,0.84,0.7
1600,-40.196548509411514,-173.20069789419452,0.77,1.0
1700,-23.848291834932752,-151.050258915597,0.83,0.95
1800,-33.73635491449386,-180.75163781116137,0.68,1.0
1900,-18.321161051862873,-144.48451774496124,0.88,0.59
2000,-42.31672049703775,-196.89355615052116,0.86,1.0
2100,-15.567824863828719,-140.0446068072191,0.85,0.61
2200,-22.86826640088111,-175.4137398696453,0.77,1.0
2300,-13.33719420293346,-134.07811838410578,0.8,0.74
2400,-38.036353343282826,-192.185713876369,0.76,1.0
2500,-24.917400198522955,-180.7417870681757,0.81,1.0
2600,-21.365196484606713,-170.39628456494904,0.83,1.0
2700,-39.571949678473175,-191.5193654304499,0.7,1.0
2800,-45.95580076612532,-204.52785352774615,0.75,1.0
2900,-26.06824852176942,-186.74074916958418,0.77,1.0
3000,-18.227056430187076,-158.34972043325473,0.84,0.84
3100,-19.44129386683926,-161.086174760574,0.8,0.67
3200,-40.608375860378146,-186.45612963633357,0.68,1.0
3300,-42.56117820274085,-218.279616804839,0.75,1.0
3400,-48.07784491404891,-224.63275207461785,0.7,1.0
3500,-37.54734902153723,-204.07666830576525,0.69,1.0
3600,-29.651457328815013,-174.33781802855296,0.8,0.95
3700,-45.90606581047177,-215.47432770781117,0.75,1.0
3800,-42.13434695394244,-213.02807507663678,0.8,1.0
3900,-37.17597256414592,-187.84983283368436,0.76,1.0
4000,-38.657967126520816,-192.18684857864818,0.76,1.0
4100,-30.27329928567633,-181.0363762903678,0.87,0.94
4200,-30.62618651613593,-185.91121392531647,0.64,1.0
4300,-17.836423833388835,-155.5569152772987,0.8,0.74
4400,-33.4631028068834,-194.27961625314566,0.79,1.0
4500,-34.222692526556784,-211.51615246377753,0.8,1.0
4600,-42.66623095294926,-216.64701125736008,0.79,1.0
4700,-40.99768764525652,-210.62180102745987,0.87,1.0
4800,-23.983185998164117,-179.42472752048764,0.97,1.0
4900,-21.82533527817577,-172.31509443655216,0.76,0.81
5000,-18.566154519096017,-154.04617669319163,0.87,0.69
5100,-32.21872991975397,-191.82619744079636,0.85,1.0
5200,-21.767038973979652,-176.43029794348263,0.84,0.94
5300,-34.65252024587244,-198.7461325227632,0.84,1.0
5400,-39.211217046831734,-209.18694151286573,0.88,1.0
5500,-19.551130078732967,-151.33285772361228,0.82,0.96
5600,-14.94553651381284,-137.592140212875,0.83,0.79
5700,-43.91871356824413,-229.04084321051053,0.92,1.0
5800,-42.28615782223642,-215.4725962329857,0.75,1.0
5900,-25.0177350230515,-158.6683467011506,0.81,0.9
6000,-42.66892428928986,-216.98742749466538,0.83,1.0
6100,-36.89057059335755,-197.9380715493145,0.83,1.0
6200,-41.478077083986136,-210.4796578941257,0.92,1.0
6300,-39.108684273436666,-210.3672958164584,0.79,1.0
6400,-23.185147886784762,-172.48152655770497,0.93,1.0
6500,-25.347914443118498,-187.8535398546484,0.95,1.0
6600,-12.16800992935896,-134.64745510155558,0.86,0.85
6700,-13.654686154157389,-132.6057818800909,0.88,0.66
6800,-28.48518745356705,-178.54364034583168,0.78,1.0
6900,-34.109558877244126,-190.17802299982893,0.79,1.0
7000,-11.570631071925163,-126.35119444767093,0.99,0.63
7100,-16.561862650327384,-132.24019823353336,0.94,0.78
7200,-15.047344527862151,-145.40169590537334,0.97,0.83
7300,-1.823448453884339,-98.85286326810238,0.93,0.8
7400,-6.903722062896122,-111.20859418520858,0.82,0.85
7500,-28.519860055297613,-178.06745412978984,0.81,1.0
7600,-31.403276454657316,-191.4542738438401,0.76,1.0
7700,-9.032444540935103,-124.98292124648526,0.98,0.99
7800,-41.18076199188363,-256.96441868500824,0.72,1.0
7900,-19.04075812676456,-148.76218575971964,0.59,0.59
8000,-9.8458056851523,-120.93209120934517,0.89,0.96
8100,-27.18397092819214,-168.27548119016745,0.8,0.81
8200,-6.458336065465119,-101.72850695313132,0.73,0.66
8300,-7.143357435415965,-96.78806960631246,0.82,0.68
8400,-13.814728835597634,-126.75346270097471,0.63,1.0
8500,-16.889402031200007,-128.7781590856648,0.74,0.96
8600,-3.5594138855376514,-90.4236558700773,0.3,0.45
8700,2.4541388398101844,-75.92907251620136,0.03,1.0
8800,-1.5237110077578109,-73.74841433130017,0.17,0.42
8900,-5.145674495957792,-87.4747716710571,0.38,0.6
9000,0.8013944544072729,-61.85890589684381,0.07,0.26
9100,-29.885098345577717,-181.95320147174138,0.59,1.0
9200,2.943094093527179,-50.898713940747136,0.14,0.03
9300,-14.224572061328217,-131.34215108209105,0.48,1.0
9400,-3.4421749310567975,-71.99733476535843,0.54,0.42
9500,-8.791125460527837,-112.05812365616727,0.78,0.74
9600,-33.53423757851124,-185.85860387185843,0.39,1.0
9700,-2.5199537203880027,-77.0466429301443,0.18,0.49
9800,-6.938519402872771,-88.40925798173497,0.03,0.81
9900,-1.4502791995182633,-62.83904632573195,0.05,0.32
10000,4.110917289101053,-58.869190017920815,0.33,0.39
10100,1.1806541970581748,-72.39406359980927,0.16,0.54
10200,-0.47472480626311153,-65.54076489200627,0.24,0.52
10300,-0.30105507893676986,-59.04840204078169,0.07,0.11
10400,2.128654025065771,-56.52307564762342,0.19,0.39
10500,-5.6060521533945575,-96.93416981163583,0.44,0.65
10600,-6.401258654077537,-121.33124375396267,0.08,1.0
10700,1.5079896336246748,-61.6206627557605,0.17,0.47
10800,1.0964009310118854,-71.19146860272451,0.17,0.56
10900,2.5586956130937324,-54.47745867299327,0.16,0.31
11000,-0.9873431094893022,-98.35183528716315,0.21,1.0
11100,1.2163669196306728,-58.05991600213328,0.11,0.4
11200,-1.0571719676954672,-68.35532406576347,0.07,0.15
11300,2.5115469805023167,-41.381033590544604,0.01,0.11
11400,-0.9010236819740385,-56.225179782086414,0.03,0.19
11500,-1.5440018344670534,-57.106008361767934,0.09,0.15
11600,1.2361193799515604,-59.56028141992183,0.27,0.43
11700,-1.7924861122737639,-46.818915250714106,0.02,0.0
11800,2.6190338342275936,-62.711943909585564,0.21,0.45
11900,0.3728955576370936,-60.4687192447399,0.06,0.27
12000,-7.728353771031834,-65.88871265629376,0.08,0.49
12100,3.7772312247543596,-51.48776007692283,0.18,0.14
12200,-2.1741161417448893,-47.836243195256905,0.04,0.03
12300,-6.514715027384227,-55.38630909626939,0.07,0.3
12400,-45.196946769952774,-239.00973117854642,0.53,1.0
12500,2.956968602607958,-50.24427910582965,0.1,0.22
12600,1.9237888464704156,-70.81809745554969,0.22,0.25
12700,3.0643310158047825,-46.20253768004613,0.07,0.22
12800,-1.1137811767694075,-60.61114506297377,0.0,0.26
12900,-1.1700540229212493,-50.346390185583545,0.02,0.0
13000,-0.6703379884420428,-53.55607956283785,0.0,0.12
13100,-0.6612258505483624,-54.94001156190065,0.01,0.42
13200,-14.302886763121933,-99.28600006690814,0.01,0.74
13300,2.970161538105458,-43.44645777057018,0.07,0.3
13400,3.42381387099158,-48.30040406125099,0.07,0.3
13500,-1.0513435588800348,-52.768927938831524,0.0,0.36
13600,-6.196078807048252,-49.421854829299896,0.02,0.26
13700,-1.3532611551490845,-41.38136098394218,0.0,0.0
13800,-37.83567777276039,-204.5461302478027,0.51,1.0
13900,4.69372171361465,-44.98586402858234,0.1,0.23
14000,4.52692501200363,-37.993418133962734,0.01,0.2
14100,-5.25500990729779,-47.82516088069693,0.0,0.13
14200,2.7447140540461987,-54.506402486969364,0.26,0.29
14300,4.666531321126968,-49.10329730132409,0.1,0.32
14400,-11.731025416287594,-64.842358085542,0.03,0.46
14500,-10.979252260483918,-60.10801459241882,0.03,0.42
14600,1.2111825013998896,-58.83216375324798,0.14,0.31
14700,5.425199949298985,-36.39203063338892,0.01,0.17
14800,6.748789602541365,-36.44748024848612,0.05,0.0
14900,4.513777587679215,-32.44363124753579,0.01,0.12
15000,1.536876117286738,-36.988864245103294,0.02,0.0
15100,2.317034742794931,-52.02914899013592,0.14,0.3
15200,0.869209975542617,-34.33460796852952,0.02,0.0
15300,-3.0582073667101213,-41.85300750552858,0.01,0.08
15400,1.9340178698766977,-52.83025289655556,0.05,0.27
15500,3.0472620265791193,-40.67659438880869,0.07,0.16
15600,-5.554333139210939,-55.276235475881165,0.05,0.2
15700,-0.8996463225921616,-55.209222537952805,0.01,0.15
15800,-0.2059676424250938,-64.10021178186085,0.15,0.4
15900,-2.891874921391718,-64.19138747100868,0.02,0.22
16000,-1.845454014797724,-57.49842279565509,0.01,0.11
16100,-9.159360212652246,-68.77067729260966,0.05,0.51
16200,4.082622240297496,-39.32363525296741,0.08,0.15
16300,4.7709444453939795,-49.12964909190897,0.08,0.25
16400,5.783856447669677,-46.7588745579621,0.09,0.16
16500,-1.3575346436118707,-62.734005247719246,0.02,0.1
16600,-2.1551732115331106,-69.58834829034957,0.07,0.35
16700,6.773166521976236,-37.80443640058249,0.06,0.0
16800,-6.555153955006972,-81.14757409289278,0.0,0.55
16900,-2.8117303303442895,-69.51808448520103,0.02,0.3
17000,2.1517402269528247,-58.54528157369417,0.13,0.29
17100,6.380692515987903,-32.58920297109577,0.1,0.08
17200,-6.459455593023449,-69.11733032333466,0.09,0.15
17300,5.0844022507662885,-37.286178147643895,0.06,0.17
17400,6.520517518743873,-35.09944384544227,0.1,0.05
17500,0.7419903470145073,-53.833204100304634,0.29,0.29
17600,6.515542048688076,-31.66478663991822,0.09,0.01
17700,-33.44556801021099,-191.91487188621548,0.6,1.0
17800,6.957508205785416,-31.970582283948097,0.07,0.06
17900,-1.7819902953533528,-68.28325553454209,0.13,0.36
18000,6.059394032810815,-42.34777353834026,0.06,0.15
18100,-9.307341502048075,-86.54318764257918,0.19,0.96
18200,3.278303094091825,-42.45518518017679,0.02,0.3
18300,-2.959216725314036,-67.25968747130999,0.14,0.43
18400,-36.36227196455002,-209.71026434657801,0.43,1.0
18500,0.19713528454303741,-69.97448656126615,0.01,0.52
18600,2.829376165231224,-38.789734581330066,0.01,0.19
18700,3.3846411470440216,-47.573076037897934,0.06,0.08
18800,1.5349052713718265,-55.9618003032874,0.14,0.25
18900,-4.901648287195712,-77.95346270242543,0.11,0.51
19000,2.0210672823595814,-52.77435538076589,0.07,0.31
19100,-10.489768908242695,-93.61853495708844,0.08,0.94
19200,1.5082472032809164,-57.26244005208806,0.11,0.24
19300,-1.089203886804171,-68.27646138199538,0.07,0.63
19400,7.196651266654953,-29.722500929094373,0.1,0.08
19500,-1.5297813798533753,-60.050724611315744,0.02,0.45
19600,3.1295587510685436,-51.77737364533429,0.12,0.34
19700,4.542704270919785,-38.307140572104046,0.08,0.13
19800,6.805417234543711,-30.617428567116523,0.06,0.0
19900,-10.90318476583343,-94.91509247152169,0.22,1.0
20000,4.308344409102574,-42.468456004035644,0.02,0.16
