step,proxy_return,true_return,hack_frac,ood_frac
100,-94.205128967762,-111.54509125788408,0.63,1.0
200,-143.22543835639954,-144.90264089013408,0.68,1.0
300,-54.72615894675255,-86.43331249317441,0.71,1.0
400,-79.88304138183594,-106.53040789639805,0.65,1.0
500,-48.12056878209114,-80.52900075561197,0.62,1.0
600,-58.979086220264435,-87.12571368327272,0.68,1.0
700,-60.624732971191406,-89.08296927477389,0.63,1.0
800,-52.630452901124954,-74.26744931385895,0.73,1.0
900,-115.53451323509216,-133.10381367221134,0.7,1.0
1000,-25.72707572299987,-53.142316173617886,0.65,0.42
1100,-138.137939453125,-152.3218285238688,0.61,1.0
1200,-125.31859838962555,-139.90413303262483,0.54,1.0
1300,-102.09756928682327,-122.0397525158477,0.6,1.0
1400,-77.12960430979729,-101.25092826274134,0.57,1.0
1500,-80.68095576763153,-107.92013056628562,0.6,1.0
1600,-73.58335075341165,-101.52915991118495,0.7,0.85
1700,-50.20902267412748,-82.99097694712236,0.75,0.69
1800,-54.3341348329559,-81.80490287099282,0.49,0.68
1900,-55.02936295233667,-79.91441314936894,0.48,0.72
2000,-57.0509485155344,-88.58329784585196,0.5,1.0
2100,-108.74955213069916,-135.54789179679645,0.61,1.0
2200,-60.369257010519505,-92.04027732961394,0.62,0.75
2300,-113.49145773053169,-134.00806091541932,0.53,1.0
2400,-47.46620980760781,-77.38162833566265,0.39,0.57
2500,-85.73614770174026,-122.44301899766664,0.83,1.0
2600,-21.690815411508083,-61.04178283090416,0.29,1.0
2700,-91.43444979190826,-115.50692722574199,0.47,1.0
2800,-67.09591192007065,-95.78242013460977,0.42,1.0
2900,-58.397829751484096,-93.66060179555875,0.82,0.78
3000,-10.443112205713987,-49.791399878877066,0.2,0.39
3100,-62.28108066320419,-94.50545584890155,0.43,1.0
3200,-39.94762779772282,-76.31490272747638,0.38,1.0
3300,-16.099399535451084,-53.36796351842476,0.17,0.32
3400,-66.75140091776848,-98.51189123484784,0.45,1.0
3500,-63.77743339538574,-99.28669712122036,0.53,0.99
3600,-76.53700059652328,-110.80065008295253,0.82,0.89
3700,-28.93173850607127,-58.05541202379561,0.28,0.49
3800,-48.35688152909279,-83.54540326987247,0.41,1.0
3900,-121.84797185659409,-145.8704124181234,0.48,1.0
4000,-44.59335195319727,-78.53952471743821,0.35,0.71
4100,-4.750531290268555,-42.00140633560916,0.1,0.25
4200,-74.96453745663166,-111.51380255129476,0.43,1.0
4300,-65.08385980129242,-99.62955653308174,0.51,1.0
4400,-63.15536467730999,-98.94361272547837,0.68,1.0
4500,-58.61325514316559,-92.6478887150318,0.37,1.0
4600,-45.35893812775612,-82.19664466528342,0.31,1.0
4700,-50.53546068072319,-88.73494377239611,0.41,1.0
4800,-3.2699439174175495,-42.63706740668646,0.06,0.29
4900,-59.4281474261079,-91.56002335100553,0.65,0.79
5000,-65.13923928863369,-96.22739098323933,0.64,0.79
5100,-32.11336723715067,-69.5338844897853,0.21,0.94
5200,-17.96835126138467,-44.59474820463272,0.17,0.34
5300,-32.666939253453165,-69.18061243333754,0.17,0.87
5400,-6.502619014703669,-43.22260219885255,0.13,0.19
5500,-50.47227790951729,-85.18296122401351,0.24,1.0
5600,-95.00094711780548,-118.78264409215515,0.21,1.0
5700,-32.45300467312336,-71.2514153961882,0.21,1.0
5800,-15.300641051493585,-52.2319987041602,0.32,0.64
5900,-8.543258826248348,-44.36000305683438,0.12,0.3
6000,-10.101868622587062,-48.21747202630866,0.18,0.61
6100,-2.4078338962281123,-39.527340923259075,0.12,0.19
6200,-140.8412537574768,-181.90807223252781,0.25,1.0
6300,-49.55727221816778,-82.14452429070576,0.14,1.0
6400,-56.37731260061264,-89.92861251744635,0.13,1.0
6500,-39.45644524693489,-76.85513920203974,0.12,1.0
6600,-9.362290182965808,-47.61859759580268,0.13,0.29
6700,-30.039514428004622,-66.30580797285803,0.48,0.71
6800,-14.739291522462736,-46.26024787728461,0.29,0.21
6900,-5.657131833635503,-39.73039377388917,0.04,0.3
7000,-8.505325606791303,-43.103474043164084,0.2,0.19
7100,-20.196535110473633,-57.260888317387696,0.08,0.74
7200,-30.12950407480821,-59.79002295921087,0.55,0.65
7300,-20.793936633504927,-58.52521738006692,0.04,0.54
7400,-6.485929700182169,-43.800262244418406,0.15,0.21
7500,-21.045869245688664,-58.48898434338631,0.03,0.56
7600,-24.013539781793952,-61.99538495187619,0.03,0.92
7700,-34.20968078549777,-67.65649141601486,0.1,0.54
7800,-30.308277872391045,-52.01317210855533,0.49,0.29
7900,-2.0337390354834497,-37.40147893282266,0.11,0.18
8000,-71.69731687009335,-96.06333090433422,0.05,1.0
8100,-34.74989944536355,-67.49774472139694,0.04,0.59
8200,-21.31673064874485,-42.8134085360042,0.25,0.32
8300,-17.822439048148226,-55.24882349279477,0.01,0.66
8400,-2.161128372186795,-36.8765935704861,0.09,0.16
8500,-5.584784916056378,-41.4388609821063,0.1,0.21
8600,-1.9430729276500642,-36.892240149846835,0.13,0.22
8700,-2.6715298990602605,-38.70156350837314,0.1,0.08
8800,-112.34233349561691,-144.51758926659238,0.11,1.0
8900,-3.7442130292765796,-34.58886305768934,0.24,0.2
9000,-21.677407521754503,-43.7318564905876,0.37,0.3
9100,-37.08874836564064,-73.85788046868095,0.01,1.0
9200,-78.97211247682571,-103.25764334145723,0.17,1.0
9300,-80.06318855285645,-105.66385955489467,0.04,1.0
9400,-127.12111449241638,-166.23423756632585,0.06,1.0
9500,-17.618740328238346,-48.335617251211836,0.39,0.29
9600,-17.265123464167118,-53.5370400396357,0.05,0.52
9700,-16.349067247472703,-47.68936842190134,0.12,0.3
9800,-26.89581989776343,-57.484016160818435,0.44,0.53
9900,1.5692452675721142,-34.59318020529363,0.07,0.15
10000,3.1913414979353547,-35.875998515441545,0.07,0.23
10100,-48.56619067490101,-81.06575250816614,0.03,1.0
10200,-5.16724372562021,-41.735892162038546,0.1,0.18
10300,3.826783725991845,-31.185102712269007,0.14,0.17
10400,-6.26049541804241,-44.60675235242332,0.04,0.3
10500,-11.162381070433185,-45.70533435477355,0.12,0.29
10600,-101.07491791248322,-123.29896786513706,0.21,1.0
10700,0.4521562112495303,-39.20747655994249,0.01,0.27
10800,-22.4083850979805,-47.841169943550284,0.44,0.3
10900,-12.708932036679471,-50.77333436390439,0.04,0.45
11000,-134.2394700050354,-180.9754361263279,0.29,1.0
11100,-12.445456283749081,-52.17891270503115,0.02,0.6
11200,-11.339427862301818,-49.96393479796895,0.03,0.55
11300,4.754781800089404,-32.105667425841816,0.06,0.08
11400,-47.14804215892218,-77.33490152685697,0.75,0.74
11500,2.162594001740217,-32.99714023225366,0.1,0.12
11600,-22.32164278626442,-53.22795015219948,0.31,0.32
11700,-25.747557625174522,-64.44006707374061,0.06,0.92
11800,-9.521581201581284,-43.69337805862404,0.36,0.27
11900,1.6342727283481508,-39.627264282342416,0.05,0.17
12000,-43.932288482785225,-78.96903657665769,0.01,1.0
12100,-11.18776174960658,-48.3696976904092,0.04,0.36
12200,-34.38713551964611,-67.33678353833234,0.05,0.47
12300,-15.117699041962624,-53.94227037211509,0.02,0.65
12400,-86.34465324878693,-114.55102480514073,0.1,1.0
12500,0.7912310138344765,-34.66704407982355,0.09,0.21
12600,-20.36185966990888,-58.24953844348798,0.08,0.72
12700,-5.923588414792903,-42.12593237065743,0.13,0.4
12800,-7.219752749428153,-43.273303025840114,0.04,0.25
12900,-31.317553877830505,-68.37597452279232,0.07,0.97
13000,-69.7852634312585,-80.01918152379454,0.8,0.67
13100,-16.298186064930633,-39.79022412736951,0.41,0.24
13200,-10.967324055789504,-49.5310847626839,0.09,0.37
13300,6.9303186850156635,-27.96323056558013,0.07,0.09
13400,-130.6669179201126,-183.18527354695007,0.2,1.0
13500,-10.983517445312827,-45.95648620351499,0.12,0.31
13600,-4.503637507674284,-39.02094296723094,0.08,0.24
13700,-130.3061202764511,-181.0220108562326,0.24,1.0
13800,-56.99660863727331,-86.44866045708555,0.13,0.99
13900,-2.915158557705581,-41.084400426400705,0.03,0.19
14000,-5.881668647751212,-36.95157249769237,0.11,0.24
14100,-3.3147628707811236,-36.316484829237055,0.1,0.25
14200,-16.031621389091015,-54.3314305888885,0.06,0.73
14300,-7.616942134685814,-40.181163046509994,0.11,0.3
14400,-1.3384037502110004,-39.900344751888305,0.03,0.2
14500,-18.897067813784815,-55.073296805015936,0.02,0.38
14600,-0.40400515287183225,-37.75413728269337,0.04,0.22
14700,-19.54831859143451,-46.77890161375207,0.17,0.33
14800,-18.460806019604206,-46.254250602741024,0.17,0.3
14900,-46.782023929059505,-77.41263312038156,0.15,0.97
15000,-6.260162442922592,-36.80701888376179,0.21,0.26
15100,-62.86293030902743,-88.95370117168693,0.12,0.95
15200,-0.22582394443452358,-32.30844291179258,0.09,0.15
15300,-17.166752014309168,-45.77741814794585,0.12,0.33
15400,0.13233667286112905,-37.02433588214459,0.05,0.21
15500,-46.52195766568184,-80.9164661967119,0.06,1.0
15600,-7.179430278250948,-45.2188349036494,0.03,0.44
15700,-15.254566561779939,-50.40512321264469,0.09,0.32
15800,-8.637285373115446,-46.824185789781396,0.05,0.25
15900,1.2214850969612598,-36.490306382713,0.06,0.23
16000,-131.88480818271637,-182.08499835002675,0.25,1.0
16100,7.6450925706885755,-29.683535671782334,0.04,0.19
16200,2.1261803577654064,-34.20946324634755,0.04,0.2
16300,-12.998450806364417,-42.88272064155951,0.18,0.28
16400,5.743353395257145,-29.097956026045868,0.03,0.19
16500,-18.55497550428845,-53.23414869319315,0.13,0.53
16600,-9.588795381598175,-43.50440876724569,0.36,0.31
16700,-60.8698894828558,-92.15273468634909,0.23,1.0
16800,-16.13437108346261,-44.689675209346994,0.3,0.29
