step,proxy_return,true_return,hack_frac,ood_frac
100,-218.25866150856018,-183.88793571099083,0.74,1.0
200,-106.19996920228004,-98.67737155926034,0.62,0.84
300,-59.61358091235161,-55.91252169691435,0.64,0.31
400,-213.1394363641739,-170.21439267948216,0.73,1.0
500,-106.77575200796127,-103.9600995881471,0.59,1.0
600,-137.42217016220093,-119.90521929357081,0.67,1.0
700,-71.7001434713602,-57.53727707792221,0.74,0.45
800,-76.57702192664146,-74.59878456896332,0.5,0.82
900,-81.78485548496246,-77.64905513974928,0.66,0.59
1000,-188.18926787376404,-168.81665418789484,0.68,1.0
1100,-88.12492036819458,-82.96824809923949,0.62,0.81
1200,-118.77704125642776,-113.88115465787679,0.5,1.0
1300,-185.3685919046402,-171.02686791425012,0.38,1.0
1400,-104.25667297840118,-99.23552710234335,0.5,0.93
1500,-88.62048983573914,-80.1194712627587,0.41,0.44
1600,-105.54667508602142,-100.48898917019139,0.5,1.0
1700,-73.54309046268463,-74.6457319449569,0.26,0.99
1800,-138.51178723573685,-126.82906651839716,0.53,1.0
1900,-121.11165046691895,-111.40249582717034,0.44,1.0
2000,-69.59710265696049,-68.34317303592118,0.32,0.36
2100,-129.7692005634308,-115.6238821547814,0.66,1.0
2200,-180.67784070968628,-176.44380342513614,0.6,1.0
2300,-172.1095346212387,-139.20017833398072,0.87,1.0
2400,-216.91277146339417,-208.53534633145105,0.66,1.0
2500,-145.6092295050621,-119.2830583235834,0.74,0.91
2600,-113.42211627960205,-106.71987779963314,0.64,0.75
2700,-131.2666761279106,-107.86432203030176,0.69,0.87
2800,-105.42542478442192,-87.70090150385487,0.57,0.61
2900,-48.59596931934357,-48.34803025612159,0.2,0.04
3000,-136.23810946941376,-116.09979092308413,0.73,0.85
3100,-121.08431309461594,-111.28478636708907,0.56,0.93
3200,-91.60706585645676,-77.75798560999264,0.44,0.44
3300,-80.95875757932663,-74.96278525451523,0.3,0.66
3400,-41.33681555092335,-43.365289921566514,0.29,0.25
3500,-220.60034012794495,-190.64837539961158,0.33,1.0
3600,-47.443302154541016,-49.8393852427631,0.21,0.0
3700,-86.01383885741234,-83.7939722096841,0.35,0.81
3800,-46.06372128427029,-44.55089180648954,0.18,0.25
3900,-84.86986410617828,-73.57654904871374,0.29,0.51
4000,-92.80037382245064,-80.94836217488125,0.32,0.58
4100,-39.327952459454536,-39.757245819024924,0.08,0.0
4200,-29.152954131364822,-33.20134438209032,0.08,0.0
4300,-153.05086106061935,-138.5216650419496,0.31,1.0
4400,-172.6917678117752,-155.22542864207333,0.22,1.0
4500,-67.44882816076279,-63.22285822867568,0.21,0.43
4600,-173.30140686035156,-151.48562999602228,0.5,1.0
4700,-39.631802558898926,-42.794943277208255,0.11,0.23
4800,-57.45389759540558,-49.45684102343229,0.18,0.34
4900,-165.36795091629028,-137.376232904285,0.69,0.89
5000,-28.77588602155447,-29.270509375928224,0.05,0.15
5100,-44.58629013597965,-39.77336240365432,0.16,0.18
5200,-43.26868258416653,-43.697787793545935,0.07,0.28
5300,-44.04640205204487,-46.320138954004236,0.11,0.22
5400,-166.4407576918602,-147.23224653163794,0.36,1.0
5500,-182.85422003269196,-157.62330350602733,0.57,0.97
5600,-43.603586092591286,-49.576764991873496,0.05,0.22
5700,-32.637886472046375,-32.68848907971277,0.08,0.17
5800,-194.8603240251541,-165.78433877188183,0.3,1.0
5900,-164.8656644821167,-145.47028290537835,0.6,0.97
6000,-65.53938534855843,-66.51383019114834,0.19,0.51
6100,-63.2654073536396,-60.400152388845655,0.21,0.26
6200,-35.77191832661629,-44.94182939106144,0.03,0.05
6300,-92.41010773181915,-81.65153466718509,0.16,0.46
6400,-33.40882520377636,-38.8134573215313,0.05,0.07
6500,-24.258855529129505,-28.41465498361987,0.04,0.0
6600,-63.61870256066322,-63.22805339131076,0.14,0.36
6700,-59.75946943461895,-59.14920941639573,0.15,0.41
6800,-42.67043624073267,-40.11695283791769,0.06,0.22
6900,-33.64378480613232,-41.412375565654735,0.01,0.02
7000,-44.8046021014452,-45.55641997242284,0.07,0.23
7100,-63.08335708081722,-59.69776569812908,0.16,0.35
7200,-55.21067741513252,-59.521279923049896,0.19,0.27
7300,-76.70955283939838,-76.04162270357511,0.09,0.52
7400,-39.07995927333832,-45.57888672205206,0.04,0.21
7500,-24.487170219421387,-28.18850009683372,0.02,0.08
7600,-40.173815831542015,-36.75676760813614,0.03,0.25
7700,-38.00047670304775,-43.24879869988568,0.01,0.14
7800,-47.53690768778324,-52.49901701236802,0.06,0.32
7900,-23.49290857464075,-24.011941682996017,0.02,0.1
8000,-27.986001029610634,-33.03763911918815,0.04,0.12
8100,-67.71031475067139,-68.75302881775498,0.04,0.43
8200,-46.799460127949715,-53.041010353236,0.02,0.15
8300,-45.10384898632765,-46.89966032083558,0.15,0.26
8400,-35.24543855339289,-39.335642423593626,0.04,0.13
8500,-32.79151567071676,-38.72373148917169,0.02,0.0
8600,-61.215152345597744,-56.87688419643819,0.1,0.33
8700,-24.3708026856184,-27.759200925875206,0.04,0.04
8800,-43.92144577205181,-53.61255314828033,0.02,0.31
8900,-93.19924479722977,-84.31177826864496,0.19,0.75
9000,-73.96857953071594,-75.21084946705282,0.04,0.55
9100,-143.4636977314949,-122.78553870365234,0.09,1.0
9200,-39.64915216714144,-47.95720059163493,0.1,0.27
9300,-42.88930804282427,-44.89124785910441,0.18,0.23
9400,-80.96575826406479,-74.86665938007553,0.27,0.64
9500,-41.10470873117447,-43.00628339148311,0.08,0.0
9600,-32.0362067297101,-37.25400586756558,0.03,0.09
9700,-46.87152764946222,-52.10437161299917,0.03,0.35
9800,-57.336215913295746,-59.23021986605743,0.06,0.41
9900,-54.540910959243774,-66.44333348220366,0.04,0.46
10000,-104.79598808288574,-92.01001093026035,0.43,0.84
10100,-41.879678539931774,-53.30701565215895,0.03,0.34
10200,-35.10947064310312,-28.316733849244596,0.08,0.19
10300,-46.36159786581993,-50.89138158577419,0.15,0.25
10400,-39.43676723539829,-38.848871667371704,0.08,0.21
10500,-42.212929271161556,-35.482520930546045,0.09,0.23
10600,-43.432703763246536,-51.739294456912,0.12,0.25
10700,-29.430489845573902,-30.611226602448742,0.06,0.14
10800,-61.05509167909622,-66.98181187827014,0.04,0.41
10900,-56.804238975048065,-54.71483180599134,0.09,0.41
11000,-49.663011625409126,-53.22757022619559,0.12,0.3
11100,-40.39167012274265,-49.2688918784556,0.0,0.0
11200,-30.974814474582672,-43.051856265633674,0.01,0.06
11300,-67.97534769773483,-76.16251788274656,0.01,0.49
11400,-39.501262947916985,-45.36398179568487,0.07,0.26
11500,-40.690400302410126,-48.744331787262006,0.02,0.22
11600,-68.46775618195534,-72.48209176734491,0.08,0.65
11700,-57.15723106265068,-63.60284791655969,0.03,0.49
11800,-109.80135411024094,-103.45387494725635,0.09,1.0
11900,-50.78663159906864,-58.13131627930383,0.11,0.29
12000,-56.91004108637571,-52.6767812580683,0.1,0.26
12100,-87.20554414391518,-82.77276146096975,0.32,0.77
12200,-58.60760763287544,-54.8075842837045,0.13,0.35
12300,-51.847668528556824,-59.37342865536019,0.11,0.28
12400,-26.784796878695488,-28.28368638604898,0.04,0.09
12500,-42.59979932755232,-44.79328093111943,0.07,0.24
12600,-29.96798498928547,-30.617351855003893,0.05,0.0
12700,-55.54970559477806,-59.42890354702281,0.09,0.44
12800,-53.447437569499016,-58.26604240180302,0.08,0.44
12900,-69.3903237581253,-71.33451569679691,0.14,0.6
13000,-45.57440759241581,-52.271231651701,0.03,0.21
13100,-60.42314489930868,-59.66530695825041,0.09,0.43
13200,-74.83244566619396,-73.02326570937953,0.25,0.57
13300,-32.30258686095476,-32.42909895277677,0.03,0.18
13400,-63.80705535411835,-63.950957603522994,0.15,0.52
13500,-37.62595085799694,-48.42125934653391,0.0,0.24
13600,-56.049870535731316,-58.42767983037011,0.15,0.32
13700,-230.76038444042206,-233.48941120068264,0.69,1.0
13800,-42.924464002251625,-47.869218010542276,0.02,0.26
13900,-179.98122090101242,-150.5341398204332,0.17,1.0
14000,-51.8895902633667,-59.15726479518562,0.01,0.41
14100,-32.42796052992344,-42.30033570526996,0.02,0.0
14200,-191.09424328804016,-182.81676309523078,0.34,1.0
14300,-58.81853071600199,-54.19823546285736,0.1,0.34
14400,-137.53046143054962,-122.1185808918025,0.6,1.0
14500,-158.81485271453857,-133.47342887983945,0.68,1.0
14600,-149.7315732240677,-136.53445446570586,0.26,1.0
14700,-90.98683229088783,-83.45846793481748,0.21,0.75
14800,-61.57590372860432,-62.17378243054496,0.12,0.36
14900,-32.07428152859211,-44.51754199343359,0.01,0.08
15000,-46.13814863562584,-58.01539113104782,0.0,0.33
15100,-54.56969973444939,-55.61748003573937,0.06,0.39
15200,-66.50248585641384,-69.3006614149879,0.05,0.51
15300,-135.04255938529968,-121.59219574457777,0.23,1.0
15400,-80.87633988261223,-80.04270757852697,0.15,0.81
15500,-55.848197624087334,-70.67230791223967,0.03,0.47
15600,-27.030449718236923,-28.125842784974473,0.08,0.04
15700,-48.81155736744404,-55.55965205167223,0.07,0.23
15800,-50.385498508811,-59.26611013660968,0.1,0.3
15900,-27.758269540965557,-22.0666427090193,0.05,0.08
16000,-83.77623891830444,-70.70043091745167,0.54,0.41
16100,-60.27070966362953,-60.05702485164094,0.18,0.41
16200,-41.273118264973164,-36.73097784452164,0.02,0.25
16300,-76.15420666337013,-68.88320144232566,0.45,0.41
16400,-59.62535300850868,-63.85553296568824,0.04,0.42
16500,-45.10418839752674,-45.25111548541036,0.1,0.19
16600,-30.588912680745125,-29.268720974707602,0.07,0.07
16700,-25.704256780445576,-26.87450462888025,0.04,0.1
16800,-83.06359812617302,-89.54793549177923,0.01,0.7
16900,-58.94424645602703,-62.49305103712257,0.0,0.48
17000,-51.7934797257185,-47.27399643854022,0.09,0.25
17100,-189.5644817352295,-168.28898484253492,0.75,1.0
17200,-26.649674743413925,-21.497836480337575,0.05,0.04
17300,-186.36458015441895,-169.82112941452093,0.51,1.0
17400,-40.68437413871288,-48.81385177242349,0.03,0.32
17500,-23.805439218878746,-22.93922239359541,0.06,0.03
17600,-37.17801149189472,-47.52754353127909,0.06,0.18
17700,-29.55594242364168,-31.189552195192046,0.03,0.09
17800,-59.42835486680269,-57.710976955149555,0.1,0.37
17900,-195.04332947731018,-168.80813030378783,0.69,1.0
18000,-51.41694687306881,-59.94038489318886,0.07,0.35
18100,-224.9790402650833,-220.96609628785194,0.84,1.0
18200,-31.92561576515436,-34.27211169244218,0.06,0.14
18300,-30.50570647418499,-31.063011432741167,0.06,0.0
18400,-205.79590117931366,-195.0540439012366,0.28,1.0
18500,-28.39973071217537,-32.30062141410854,0.05,0.15
18600,-39.42257186025381,-33.21093024500071,0.06,0.21
18700,-177.71616637706757,-167.17494500169934,0.01,1.0
18800,-34.38443307578564,-39.756686725843174,0.01,0.0
18900,-76.73536884784698,-83.98162945122095,0.0,1.0
19000,-47.61393891274929,-53.32690203823048,0.1,0.29
19100,-54.31086418032646,-56.67437581009044,0.12,0.22
19200,-42.0991569980979,-39.66742089493656,0.15,0.2
19300,-141.455460190773,-133.9265864239393,0.08,1.0
19400,-43.49227473139763,-49.3177770466966,0.01,0.19
19500,-31.84847190231085,-34.46023667563989,0.07,0.07
19600,-53.36718192696571,-62.05228539213897,0.01,0.53
19700,-28.741766899824142,-33.86467513337823,0.01,0.0
19800,-62.81843911111355,-58.03001122157998,0.12,0.4
19900,-57.06351339817047,-49.362525199714874,0.01,0.39
20000,-30.299544468522072,-35.44382626212603,0.05,0.19
20100,-40.239526450634,-41.24837465247378,0.07,0.23
20200,-87.35614311695099,-92.35387345883066,0.01,0.8
20300,-36.6608792245388,-39.20133801168254,0.08,0.2
20400,-26.818971909582615,-25.573683614735945,0.05,0.12
20500,-27.188744857907295,-31.746171693057402,0.02,0.0
20600,-52.905476197600365,-54.05127331749671,0.1,0.33
20700,-30.513009548187256,-25.08020183282789,0.07,0.0
20800,-212.89715611934662,-191.713187037084,0.52,1.0
20900,-34.45271364599466,-38.83693251581126,0.05,0.14
